mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
21	21	167/2	167/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	241														
21	21	80	80	3.0		0	0	Chord	4/4	1	2	3/4		1/2	3/2	242									44					
21	21	83	83	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	243														
21	21	80	80	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	244														
21	21	82	82	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	245														
22	22	84	84	0.0		0	0	Chord	4/4	1	1	0	acciaccatura	1/8	1	246														
22	22	84	84	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	247									45					
22	22	169/2	169/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	248									45					
22	22	85	85	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	249									45					
22	22	171/2	171/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	250									45					
22	22	86	86	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	251									45					
22	22	87	87	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	252									45					
22	22	84	84	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	253									46					
22	22	85	85	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	254									46					
22	22	86	86	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	255									46					
22	22	87	87	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	256														
22	22	84	84	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	257									47					
22	22	85	85	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	258									47					
22	22	86	86	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	259														
22	22	84	84	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	260														
22	22	86	86	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	261														
22	22	87	87	1.0		3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	262														
23	23	88	88	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	263									45					
23	23	89	89	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	264									45					
23	23	90	90	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	265									45					
23	23	91	91	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	266									45					
23	23	88	88	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	267														
23	23	91	91	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	268									48					
24	24	92	92	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	269														
24	24	187/2	187/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	270									49					
24	24	94	94	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	271														
24	24	92	92	1.5		0	0	Chord	4/4	2	1	3/8		1/4	3/2	272														
24	24	187/2	187/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	273									50					
24	24	94	94	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	274														
25	25	96	96	0.0		0	0	Dynamic	4/4	1	1	0					p													
25	25	96	96	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	275									51					
25	25	97	97	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	276									51					
25	25	195/2	195/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	277									51					
25	25	98	98	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	278									51					
25	25	197/2	197/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	279									51					
25	25	99	99	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	280									51					
25	25	195/2	195/2	0.0		3/8	3/8	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>sereno"											
25	25	195/2	195/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	281									52					
25	25	98	98	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	282		articTenutoBelow												
25	25	199/2	199/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	283									53					
26	26	100	100	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	284														
26	26	101	101	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	285									54					
26	26	203/2	203/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	286									54					
26	26	102	102	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	287									54					
26	26	205/2	205/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	288									54					
26	26	103	103	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	289														
26	26	100	100	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	290		articTenutoBelow												
26	26	203/2	203/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	291									55					
26	26	102	102	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	292		articTenutoBelow												
26	26	207/2	207/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	293									56					
27	27	104	104	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	294									57					
27	27	209/2	209/2	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	295									57					
27	27	211/2	211/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	296									57					
27	27	106	106	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	297		articTenutoAbove							57					
27	27	213/2	213/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	298		articTenutoAbove							57					
27	27	107	107	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	299		articTenutoAbove												
27	27	104	104	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	300														
27	27	105	105	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	301									58					
27	27	106	106	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	302		articStaccatoBelow												
27	27	213/2	213/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	303		articStaccatoBelow												
27	27	107	107	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	304		articStaccatoBelow												
27	27	215/2	215/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	305		articStaccatoBelow												
28	28	108	108	0.0		0	0	Spanner	4/4	1	1	0																	1	
28	28	108	108	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	306									59				1	
28	28	109	109	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	307									59				1	
28	28	219/2	219/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	308									59				1	
28	28	110	110	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	309									59				1	
28	28	111	111	0.0		3/4	3/4	Dynamic	4/4	1	1	0					sf													
28	28	111	111	0.0		3/4	3/4	Spanner	4/4	1	1	0																		
28	28	111	111	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	310		articStaccatoBelow												
28	28	217/2	217/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	311		articStaccatoAbove												
28	28	109	109	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	312		articStaccatoAbove												
28	28	219/2	219/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	313		articStaccatoAbove												
28	28	221/2	221/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	314		articStaccatoAbove												
28	28	111	111	0.0		3/4	3/4	Spanner	4/4	2	1	0															5	5		
28	28	111	111	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	315		articStaccatoAbove									5	5		
28	28	223/2	223/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	316		articStaccatoAbove									5	5		
29	29	112	112	0.0		0	0	StaffText	4/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>cantando"											
29	29	112	112	3.0		0	0	Chord	4/4	1	1	3/4		1/2	3/2	317		articTenutoAbove							60					
29	29	115	115	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	318														
29	29	112	112	0.0		0	0	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>risoluto diminuendo"											
29	29	112	112	0.0		0	0	Spanner	4/4	2	1	0																		
29	29	225/2	225/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	319		articStaccatoAbove												
29	29	113	113	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	320		articStaccatoAbove												
29	29	227/2	227/2	0.0		3/8	3/8	Spanner	4/4	2	1	0																		7
29	29	227/2	227/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	321		articStaccatoAbove												7
29	29	114	114	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	322									61					7
29	29	229/2	229/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	323									61					7
29	29	115	115	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	324														7
29	29	231/2	231/2	0.0		7/8	7/8	Spanner	4/4	2	1	0																		
29	29	231/2	231/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	325		articStaccatoAbove												
29	29	114	114	1.5		1/2	1/2	Chord	4/4	2	2	3/8		1/4	3/2	326									62					
29	29	231/2	231/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	327														
30	30	116	116	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	328									63					
30	30	233/2	233/2	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	329														
30	30	235/2	235/2	0.0		3/8	3/8	Dynamic	4/4	1	1	0					p													
30	30	235/2	235/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	330									64					
30	30	118	118	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	331									64					
30	30	119	119	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	332														
30	30	116	116	0.0		0	0	Spanner	4/4	2	1	0																		8
30	30	116	116	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	333									65					8
30	30	233/2	233/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	334									65					8
30	30	117	117	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	335		articStaccatoAbove												8
30	30	235/2	235/2	0.0		3/8	3/8	Spanner	4/4	2	1	0																		
30	30	235/2	235/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	336		articStaccatoAbove												
30	30	118	118	0.0		1/2	1/2	Spanner	4/4	2	1	0																		9
30	30	118	118	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	337									66					9
30	30	237/2	237/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	338									66					9
30	30	119	119	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	339														9
30	30	239/2	239/2	0.0		7/8	7/8	Spanner	4/4	2	1	0																		
30	30	239/2	239/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	340		articStaccatoAbove												
30	30	116	116	1.5		0	0	Chord	4/4	2	2	3/8		1/4	3/2	341									67					
30	30	235/2	235/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	342														
30	30	118	118	1.5		1/2	1/2	Chord	4/4	2	2	3/8		1/4	3/2	343									68					
30	30	239/2	239/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	344														
31	31	241/2	241/2	0.0		1/8	1/8	Spanner	4/4	1	1	0																	2	
31	31	241/2	241/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	345									69				2	
31	31	121	121	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	346		articStaccatoBelow											2	
31	31	243/2	243/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	347		articStaccatoBelow											2	
31	31	122	122	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	348		articStaccatoBelow											2	
31	31	245/2	245/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	349		articStaccatoBelow											2	
31	31	123	123	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	350									70				2	
31	31	247/2	247/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	351		articStaccatoBelow											2	
31	31	120	120	0.0		0	0	Spanner	4/4	2	1	0																		10
31	31	120	120	0.0		0	0	Spanner	4/4	2	1	0															6	6		10
31	31	120	120	1.5		0	0	Chord	4/4	2	1	3/8		1/4	3/2	352									71		6	6		10
31	31	243/2	243/2	0.0		3/8	3/8	Spanner	4/4	2	1	0													71		6	6		
31	31	243/2	243/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	353									71		6	6		
31	31	122	122	0.0		1/2	1/2	Spanner	4/4	2	1	0																		
31	31	122	122	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	354														
31	31	245/2	245/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	355		articStaccatoBelow												
31	31	123	123	0.0		3/4	3/4	Spanner	4/4	2	1	0															7	7		
31	31	123	123	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	356		articAccentBelow							72		7	7		
31	31	247/2	247/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	357		articStaccatoBelow									7	7		
32	32		124	0.5	1	0	0	Chord	4/4	1	1	1/8		1/8	1	358		articStaccatoBelow											2	
32	32		249/2	0.0	1	1/8	1/8	Spanner	4/4	1	1	0																		
32	32		249/2	0.5	1	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	359		articStaccatoBelow												
32	32		125	0.0	1	1/4	1/4	Dynamic	4/4	1	1	0					f													
32	32		125	1.0	1	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	360		ornamentTrill												
32	32		126	0.0	1	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	361														
32	32		126	0.0	1	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	362														
32	32		126	2.0	1	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	363		articTenutoAbove												
32	32		125	1.0	1	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	364														
32	32		126	2.0	1	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	365														
32	32		124	0.0	1	0	0	Spanner	4/4	2	1	0																		
32	32		124	0.5	1	0	0	Chord	4/4	2	1	1/8		1/8	1	366		articStaccatoBelow												
32	32		249/2	0.5	1	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	367		articStaccatoBelow												
32	32		125	0.0	1	1/4	1/4	Spanner	4/4	2	1	0															8	8		
32	32		125	1.0	1	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	368		ornamentTrill							73		8	8		
32	32		126	2.0	1	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	369											8	8		
33	32	124	128	0.5	2	0	0	Chord	4/4	1	1	1/8		1/8	1	370		articStaccatoBelow												
33	32	249/2	257/2	0.5	2	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	371		articStaccatoBelow												
33	32	125	129	0.0	2	1/4	1/4	Dynamic	4/4	1	1	0					f													
33	32	125	129	1.0	2	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	372		ornamentTrill							74					
33	32	126	130	0.0	2	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	373														
33	32	126	130	0.0	2	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	374														
33	32	126	130	0.5	2	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	375														
33	32	1013/8	1045/8	0.125	2	21/32	21/32	Chord	4/4	1	1	1/32		1/32	1	376									75					
33	32	507/4	523/4	0.0	2	11/16	11/16	Dynamic	4/4	1	1	0					p								75					
33	32	507/4	523/4	0.125	2	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	377									75					
33	32	1015/8	1047/8	0.0	2	23/32	23/32	Spanner	4/4	1	1	0													75				3	
33	32	1015/8	1047/8	0.125	2	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	378									75				3	
33	32	127	131	0.125	2	3/4	3/4	Chord	4/4	1	1	1/32		1/32	1	379									75				3	
33	32	1017/8	1049/8	0.125	2	25/32	25/32	Chord	4/4	1	1	1/32		1/32	1	380									75				3	
33	32	509/4	525/4	0.125	2	13/16	13/16	Chord	4/4	1	1	1/32		1/32	1	381									75				3	
33	32	1019/8	1051/8	0.125	2	27/32	27/32	Chord	4/4	1	1	1/32		1/32	1	382									75				3	
33	32	255/2	263/2	0.125	2	7/8	7/8	Chord	4/4	1	1	1/32		1/32	1	383									75				3	
33	32	1021/8	1053/8	0.125	2	29/32	29/32	Chord	4/4	1	1	1/32		1/32	1	384									75				3	
33	32	511/4	527/4	0.125	2	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	385									75				3	
33	32	1023/8	1055/8	0.125	2	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	386									75				3	
33	32	125	129	1.0	2	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	387													3	
33	32	126	130	0.5	2	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	388													3	
33	32	124	128	0.0	2	0	0	Spanner	4/4	2	1	0																		
33	32	124	128	0.5	2	0	0	Chord	4/4	2	1	1/8		1/8	1	389		articStaccatoBelow												
33	32	249/2	257/2	0.5	2	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	390		articStaccatoBelow												
33	32	125	129	0.0	2	1/4	1/4	Spanner	4/4	2	1	0															9	9		
33	32	125	129	1.0	2	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	391		ornamentTrill							76		9	9		
33	32	126	130	0.5	2	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	392		articStaccatoBelow									9	9		
33	32	253/2	261/2	0.0	2	5/8	5/8	Spanner	4/4	2	1	0																		
33	32	253/2	261/2	0.0	2	5/8	5/8	Spanner	4/4	2	1	0															10	10		
33	32	253/2	261/2	1.5	2	5/8	5/8	Chord	4/4	2	1	3/8		1/4	3/2	393		articAccentBelow							77		10	10		
34	33	128	132	0.0		0	0	Spanner	4/4	1	1	0																		
34	33	128	132	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	394														
34	33	257/2	265/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	395									78					
34	33	515/4	531/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	396														
34	33	129	133	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	397									79					
34	33	517/4	533/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	398														
34	33	259/2	267/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	399									80					
34	33	519/4	535/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	400														
34	33	130	134	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	401									81					
34	33	521/4	537/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	402														
34	33	261/2	269/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	403									82					
34	33	523/4	539/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	404														
34	33	131	135	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	405									83					
34	33	525/4	541/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	406														
34	33	263/2	271/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	407									84					
34	33	527/4	543/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	408														
34	33	128	132	0.0		0	0	Dynamic	4/4	2	1	0					ff													
34	33	128	132	0.0		0	0	Spanner	4/4	2	1	0																		
34	33	128	132	0.0		0	0	Spanner	4/4	2	1	0															11	11		
34	33	128	132	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	409											11	11		
34	33	129	133	0.0		1/4	1/4	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>sempre al rigore di tempo"								11	11		
34	33	519/4	535/4	0.0		7/16	7/16	Spanner	4/4	2	1	0																		
34	33	519/4	535/4	0.0		7/16	7/16	Spanner	4/4	2	1	0																	4	
34	33	519/4	535/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	410									85				4	
34	33	130	134	0.0		1/2	1/2	Spanner	4/4	2	1	0															12	12		
34	33	130	134	0.0		1/2	1/2	Spanner	4/4	2	1	0															12	12		
34	33	130	134	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	411		articAccentAbove									12	12		
34	33	1049/8	1081/8	0.0		25/32	25/32	Spanner	4/4	2	1	0															12	12	5	
34	33	1049/8	1081/8	0.125		25/32	25/32	Chord	4/4	2	1	1/32		1/32	1	412									86		12	12	5	
34	33	525/4	541/4	0.125		13/16	13/16	Chord	4/4	2	1	1/32		1/32	1	413									86		12	12	5	
34	33	1051/8	1083/8	0.125		27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	414									86		12	12	5	
34	33	263/2	271/2	0.125		7/8	7/8	Chord	4/4	2	1	1/32		1/32	1	415									86		12	12	5	
34	33	1053/8	1085/8	0.0		29/32	29/32	Spanner	4/4	2	1	0													86				5	
34	33	1053/8	1085/8	0.125		29/32	29/32	Chord	4/4	2	1	1/32		1/32	1	416									86				5	
34	33	527/4	543/4	0.125		15/16	15/16	Chord	4/4	2	1	1/32		1/32	1	417									86				5	
34	33	1055/8	1087/8	0.0		31/32	31/32	Spanner	4/4	2	1	0													86					
34	33	1055/8	1087/8	0.125		31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	418									86					
35	34	132	136	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	419									87					
35	34	529/4	545/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	420														
35	34	265/2	273/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	421									88					
35	34	531/4	547/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	422														
35	34	133	137	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	423									89					
35	34	533/4	549/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	424														
35	34	267/2	275/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	425									90					
35	34	535/4	551/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	426														
35	34	134	138	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	427									91					
35	34	537/4	553/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	428														
35	34	269/2	277/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	429									92					
35	34	539/4	555/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	430														
35	34	135	139	0.0		3/4	3/4	Spanner	4/4	1	1	0																	6	
35	34	135	139	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	431									93				6	
35	34	541/4	557/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	432													6	
35	34	271/2	279/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	433									94				6	
35	34	543/4	559/4	0.0		15/16	15/16	Spanner	4/4	1	1	0																		
35	34	543/4	559/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	434														
35	34	132	136	0.0		0	0	Dynamic	4/4	2	1	0					sf													
35	34	132	136	0.0		0	0	Spanner	4/4	2	1	0															13	13		
35	34	132	136	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	435											13	13		
35	34	265/2	273/2	0.0		1/8	1/8	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>diminuendo"								13	13		
35	34	535/4	551/4	0.0		7/16	7/16	Spanner	4/4	2	1	0																		
35	34	535/4	551/4	0.0		7/16	7/16	Spanner	4/4	2	1	0																	7	
35	34	535/4	551/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	436									95				7	
35	34	134	138	0.0		1/2	1/2	Spanner	4/4	2	1	0															14	14	7	
35	34	134	138	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	437		articStaccatoAbove									14	14	7	
35	34	269/2	277/2	0.0		5/8	5/8	Spanner	4/4	2	1	0															14	14		
35	34	1081/8	1113/8	0.125		25/32	25/32	Chord	4/4	2	1	1/32		1/32	1	438											14	14		
35	34	541/4	557/4	0.125		13/16	13/16	Chord	4/4	2	1	1/32		1/32	1	439											14	14		
35	34	1083/8	1115/8	0.125		27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	440											14	14		
35	34	271/2	279/2	0.125		7/8	7/8	Chord	4/4	2	1	1/32		1/32	1	441											14	14		
35	34	1085/8	1117/8	0.0		29/32	29/32	Spanner	4/4	2	1	0																		
35	34	1085/8	1117/8	0.125		29/32	29/32	Chord	4/4	2	1	1/32		1/32	1	442														
35	34	543/4	559/4	0.125		15/16	15/16	Chord	4/4	2	1	1/32		1/32	1	443														
35	34	1087/8	1119/8	0.125		31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	444														
36	35	136	140	0.0		0	0	Dynamic	4/4	1	1	0					p													
36	35	136	140	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	445									96					
36	35	545/4	561/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	446														
36	35	273/2	281/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	447									97					
36	35	547/4	563/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	448														
36	35	137	141	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	449									98					
36	35	549/4	565/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	450														
36	35	275/2	283/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	451									99					
36	35	551/4	567/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	452														
36	35	138	142	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	453									100					
36	35	553/4	569/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	454														
36	35	277/2	285/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	455									101					
36	35	555/4	571/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	456														
36	35	139	143	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	457									102					
36	35	557/4	573/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	458														
36	35	279/2	287/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	459									103					
36	35	559/4	575/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	460														
36	35	136	140	0.0		0	0	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>marcato"											
36	35	136	140	0.0		0	0	Spanner	4/4	2	1	0															15	15		
36	35	136	140	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	461		articStaccatoBelow									15	15		
36	35	273/2	281/2	0.0		1/8	1/8	Spanner	4/4	2	1	0																		
