mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_line	crescendo_hairpin	decrescendo_hairpin
17	17	65/2	65/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	227										
17	17	197/6	197/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	228										
17	17	33	33	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	229										
17	17	100/3	100/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	230										
17	17	67/2	67/2	0.0	3/8	3/8	Spanner	2/4	1	1	0													5	
17	17	67/2	67/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	231									5	
17	17	203/6	203/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	232									5	
17	17	67/2	67/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	233				38						
17	17	101/3	101/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	234				38						
17	17	203/6	203/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	235				38						
18	18	34	34	0.0	0	0	Spanner	2/4	1	1	0														
18	18	34	34	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	236										
18	18	103/3	103/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	237				39						
18	18	69/2	69/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	238										
18	18	209/6	209/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	239				40						
18	18	35	35	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	240										
18	18	106/3	106/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	241				41						
18	18	71/2	71/2	0.0	3/8	3/8	Spanner	2/4	1	1	0													6	
18	18	71/2	71/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	242									6	
18	18	215/6	215/6	0.0	11/24	11/24	Spanner	2/4	1	1	0														
18	18	215/6	215/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	243				42						
18	18	34	34	0.0	0	0	Dynamic	2/4	2	1	0					mp									
18	18	34	34	0.3333333333333333	0	0	Chord	2/4	2	1	1/12		1/8	2/3	244		articAccentBelow								
18	18	103/3	103/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	245										
18	18	69/2	69/2	0.0	1/8	1/8	Spanner	2/4	2	1	0													7	
18	18	69/2	69/2	0.3333333333333333	1/8	1/8	Chord	2/4	2	1	1/12		1/8	2/3	246									7	
18	18	209/6	209/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	247									7	
18	18	35	35	0.0	1/4	1/4	Spanner	2/4	2	1	0														
18	18	35	35	0.0	1/4	1/4	Spanner	2/4	2	1	0														1
18	18	35	35	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12		1/8	2/3	248										1
18	18	106/3	106/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	249										1
18	18	71/2	71/2	0.0	3/8	3/8	Spanner	2/4	2	1	0														
18	18	71/2	71/2	0.3333333333333333	3/8	3/8	Chord	2/4	2	1	1/12		1/8	2/3	250										
18	18	215/6	215/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	251										
19	19	36	36	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	252										
19	19	109/3	109/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	253										
19	19	73/2	73/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	254										
19	19	221/6	221/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	255										
19	19	37	37	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	256										
19	19	112/3	112/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	257										
19	19	75/2	75/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	258										
19	19	227/6	227/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	259										
19	19	36	36	0.3333333333333333	0	0	Chord	2/4	2	1	1/12		1/8	2/3	260										
19	19	109/3	109/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	261				43						
19	19	73/2	73/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	262		articTenutoBelow								
19	19	75/2	75/2	0.0	3/8	3/8	Spanner	2/4	2	1	0													8	
19	19	75/2	75/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	263				44					8	
19	19	113/3	113/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	264				44					8	
19	19	227/6	227/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	265				44					8	
20	20	38	38	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	266										
20	20	115/3	115/3	0.0	1/12	1/12	Spanner	2/4	1	1	0													9	
20	20	115/3	115/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	267				45					9	
20	20	77/2	77/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	268									9	
20	20	233/6	233/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	269				46					9	
20	20	39	39	0.0	1/4	1/4	Spanner	2/4	1	1	0														
20	20	39	39	0.0	1/4	1/4	Spanner	2/4	1	1	0														2
20	20	39	39	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	270										2
20	20	118/3	118/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	271				47						2
20	20	79/2	79/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	272										2
20	20	239/6	239/6	0.0	11/24	11/24	Spanner	2/4	1	1	0														
20	20	239/6	239/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	273				48						
20	20	38	38	0.0	0	0	Spanner	2/4	2	1	0														
20	20	38	38	0.3333333333333333	0	0	Chord	2/4	2	1	1/12		1/8	2/3	274		articAccentAbove								
20	20	115/3	115/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	275										
20	20	77/2	77/2	0.3333333333333333	1/8	1/8	Chord	2/4	2	1	1/12		1/8	2/3	276										
20	20	233/6	233/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	277										
20	20	39	39	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12		1/8	2/3	278										
20	20	118/3	118/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	279										
20	20	79/2	79/2	0.3333333333333333	3/8	3/8	Chord	2/4	2	1	1/12		1/8	2/3	280										
20	20	239/6	239/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	281										
21	21	40	40	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	282										
21	21	121/3	121/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	283				49						
21	21	81/2	81/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	284										
21	21	245/6	245/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	285				50						
21	21	41	41	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	286										
21	21	124/3	124/3	0.0	1/3	1/3	Spanner	2/4	1	1	0												0		
21	21	124/3	124/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	287				51				0		
21	21	83/2	83/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	288								0		
21	21	251/6	251/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	289				52				0		
21	21	40	40	0.3333333333333333	0	0	Chord	2/4	2	1	1/12		1/8	2/3	290										
21	21	121/3	121/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	291										
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	292		articTenutoAbove								
21	21	124/3	124/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	293				53						
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	294		articTenutoAbove								
22	22	42	42	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	295								0		
22	22	127/3	127/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	296				54				0		
22	22	85/2	85/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	297								0		
22	22	257/6	257/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	298				55				0		
22	22	43	43	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	299								0		
22	22	130/3	130/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	300				56				0		
22	22	87/2	87/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	301								0		
22	22	263/6	263/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	302				57				0		
22	22	169/4	169/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	303				58						
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	304		articTenutoAbove								
22	22	173/4	173/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	305				59						
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	306		articTenutoAbove								
23	23	44	44	0.0	0	0	Spanner	2/4	1	1	0														
23	23	44	44	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	307										
23	23	133/3	133/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	308				60						
23	23	89/2	89/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	309										
23	23	269/6	269/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	310				61						
23	23	45	45	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	311										
23	23	136/3	136/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	312				62						
23	23	91/2	91/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	313										
23	23	275/6	275/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	314				63						
23	23	177/4	177/4	0.0	1/16	1/16	Spanner	2/4	2	1	0										4	4			
23	23	177/4	177/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	315				64		4	4			
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	316		articTenutoAbove				4	4			
24	24	46	46	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	317										
24	24	93/2	93/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	318		articAccentStaccatoBelow								
24	24	47	47	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	319		articAccentStaccatoBelow								
24	24	95/2	95/2	0.0	3/8	3/8	Spanner	2/4	1	1	0													10	
24	24	95/2	95/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	320				65					10	
24	24	143/3	143/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	321				65					10	
24	24	287/6	287/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	322				65					10	
24	24	46	46	0.0	0	0	Spanner	2/4	2	1	0														
24	24	93/2	93/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	323		articAccentStaccatoAbove								
24	24	47	47	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	324		articAccentStaccatoBelow								
25	25	48	48	0.0	0	0	Spanner	2/4	1	1	0														
25	25	48	48	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	325		articAccentStaccatoAbove								
25	25	145/3	145/3	0.0	1/12	1/12	Dynamic	2/4	1	1	0					mp									
25	25	145/3	145/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	326										
25	25	97/2	97/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	327										
25	25	293/6	293/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	328										
25	25	49	49	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	329										
25	25	148/3	148/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	330										
25	25	99/2	99/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	331										
25	25	299/6	299/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	332										
25	25	99/2	99/2	0.0	3/8	3/8	Spanner	2/4	2	1	0													11	
25	25	99/2	99/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	333				66					11	
25	25	149/3	149/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	334				66					11	
25	25	299/6	299/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	335				66					11	
26	26	50	50	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	336										
26	26	151/3	151/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	337				67						
26	26	101/2	101/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0					mp									
26	26	101/2	101/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	338										
26	26	305/6	305/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	339				68						
26	26	51	51	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	340										
26	26	154/3	154/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	341				69						
26	26	103/2	103/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	342										
26	26	311/6	311/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	343				70						
26	26	50	50	0.0	0	0	Spanner	2/4	2	1	0														
26	26	50	50	0.3333333333333333	0	0	Chord	2/4	2	1	1/12		1/8	2/3	344		articAccentBelow								
26	26	151/3	151/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	345										
26	26	101/2	101/2	0.3333333333333333	1/8	1/8	Chord	2/4	2	1	1/12		1/8	2/3	346										
26	26	305/6	305/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	347										
26	26	51	51	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12		1/8	2/3	348										
26	26	154/3	154/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	349										
26	26	103/2	103/2	0.3333333333333333	3/8	3/8	Chord	2/4	2	1	1/12		1/8	2/3	350										
26	26	311/6	311/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	351										
27	27	52	52	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	352										
27	27	157/3	157/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	353										
27	27	105/2	105/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	354										
27	27	317/6	317/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	355										
27	27	53	53	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	356										
27	27	160/3	160/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	357										
27	27	107/2	107/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	358										
27	27	323/6	323/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	359										
27	27	52	52	0.3333333333333333	0	0	Chord	2/4	2	1	1/12		1/8	2/3	360										
27	27	157/3	157/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	361				71						
27	27	105/2	105/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	362		articTenutoBelow								
27	27	107/2	107/2	0.0	3/8	3/8	Spanner	2/4	2	1	0													12	
27	27	107/2	107/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	363				72					12	
27	27	161/3	161/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	364				72					12	
27	27	323/6	323/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	365				72					12	
28	28	54	54	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	366										
28	28	163/3	163/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	367				73						
28	28	109/2	109/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	368										
28	28	329/6	329/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	369				74						
28	28	55	55	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	370										
28	28	166/3	166/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	371				75						
28	28	111/2	111/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	372										
28	28	335/6	335/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	373				76						
28	28	54	54	0.0	0	0	Spanner	2/4	2	1	0														
28	28	54	54	0.0	0	0	Spanner	2/4	2	1	0														3
28	28	54	54	0.3333333333333333	0	0	Chord	2/4	2	1	1/12		1/8	2/3	374										3
28	28	163/3	163/3	0.0	1/12	1/12	Spanner	2/4	2	1	0														
28	28	163/3	163/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	375										
28	28	109/2	109/2	0.3333333333333333	1/8	1/8	Chord	2/4	2	1	1/12		1/8	2/3	376										
28	28	329/6	329/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	377										
28	28	55	55	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12		1/8	2/3	378										
28	28	166/3	166/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	379										
28	28	111/2	111/2	0.3333333333333333	3/8	3/8	Chord	2/4	2	1	1/12		1/8	2/3	380										
28	28	335/6	335/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	381										
29	29	56	56	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	382										
29	29	169/3	169/3	0.0	1/12	1/12	Spanner	2/4	1	1	0													13	
29	29	169/3	169/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	383				77					13	
29	29	113/2	113/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	384									13	
29	29	341/6	341/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	385				78					13	
29	29	57	57	0.0	1/4	1/4	Spanner	2/4	1	1	0														
29	29	57	57	0.0	1/4	1/4	Spanner	2/4	1	1	0														4
29	29	57	57	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	386										4
29	29	172/3	172/3	0.0	1/3	1/3	Spanner	2/4	1	1	0														
29	29	172/3	172/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	387				79						
29	29	115/2	115/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	388										
29	29	347/6	347/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	389				80						
29	29	56	56	0.3333333333333333	0	0	Chord	2/4	2	1	1/12		1/8	2/3	390										
29	29	169/3	169/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	391				81						
29	29	113/2	113/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	392										
29	29	172/3	172/3	0.0	1/3	1/3	StaffText	2/4	2	1	0							cresc.							
29	29	172/3	172/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	393				82						
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	394		articTenutoAbove								
30	30	58	58	0.0	0	0	Spanner	2/4	1	1	0													14	
30	30	58	58	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	395									14	
30	30	175/3	175/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	396				83					14	
30	30	117/2	117/2	0.0	1/8	1/8	Spanner	2/4	1	1	0														
30	30	117/2	117/2	0.0	1/8	1/8	Spanner	2/4	1	1	0														5
30	30	117/2	117/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	397										5
30	30	353/6	353/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	398				84						5
30	30	59	59	0.0	1/4	1/4	Spanner	2/4	1	1	0														
30	30	59	59	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	399										
30	30	178/3	178/3	0.0	1/3	1/3	Spanner	2/4	1	1	0													15	
30	30	178/3	178/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	400				85					15	
30	30	119/2	119/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	401									15	
30	30	359/6	359/6	0.0	11/24	11/24	Spanner	2/4	1	1	0														
30	30	359/6	359/6	0.0	11/24	11/24	Spanner	2/4	1	1	0														6
30	30	359/6	359/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	402				86						6
30	30	175/3	175/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	403				87						
30	30	117/2	117/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	404		articTenutoAbove								
30	30	178/3	178/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	405				88						
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	406		articTenutoAbove								
31	31	60	60	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	407										6
31	31	181/3	181/3	0.0	1/12	1/12	Spanner	2/4	1	1	0														
31	31	181/3	181/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	408				89						
31	31	121/2	121/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	409										
31	31	365/6	365/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	410				90						
31	31	61	61	0.0	1/4	1/4	Spanner	2/4	1	1	0													16	
31	31	61	61	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	411									16	
31	31	184/3	184/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	412				91					16	
31	31	123/2	123/2	0.0	3/8	3/8	Spanner	2/4	1	1	0														
31	31	123/2	123/2	0.0	3/8	3/8	Spanner	2/4	1	1	0														7
31	31	123/2	123/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	413										7
31	31	371/6	371/6	0.0	11/24	11/24	Spanner	2/4	1	1	0														
31	31	371/6	371/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	414				92						
31	31	181/3	181/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	415				93						
31	31	121/2	121/2	0.3333333333333333	1/8	1/8	Chord	2/4	2	1	1/12		1/8	2/3	416										
31	31	365/6	365/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	417				94						
31	31	61	61	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12		1/8	2/3	418										
31	31	184/3	184/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	419				95						
31	31	123/2	123/2	0.3333333333333333	3/8	3/8	Chord	2/4	2	1	1/12		1/8	2/3	420										
31	31	371/6	371/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	421				96						
32	32	62	62	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	422										
32	32	187/3	187/3	0.0	1/12	1/12	Spanner	2/4	1	1	0													17	
32	32	187/3	187/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	423				97					17	
32	32	125/2	125/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	424									17	
32	32	377/6	377/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	425				98					17	
32	32	63	63	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	426									17	
32	32	190/3	190/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	427				99					17	
32	32	127/2	127/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	428									17	
32	32	383/6	383/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	429				100					17	
32	32	62	62	0.3333333333333333	0	0	Chord	2/4	2	1	1/12		1/8	2/3	430										
32	32	187/3	187/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	431				101						
32	32	125/2	125/2	0.3333333333333333	1/8	1/8	Chord	2/4	2	1	1/12		1/8	2/3	432										
32	32	377/6	377/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	433				102						
32	32	63	63	0.3333333333333333	1/4	1/4	Chord	2/4	2	1	1/12		1/8	2/3	434										
32	32	190/3	190/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	435				103						
32	32	127/2	127/2	0.3333333333333333	3/8	3/8	Chord	2/4	2	1	1/12		1/8	2/3	436										
32	32	383/6	383/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	437				104						
33	33	64	64	0.0	0	0	Dynamic	2/4	1	1	0					f									
33	33	64	64	0.0	0	0	Spanner	2/4	1	1	0														
33	33	64	64	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	438										
33	33	129/2	129/2	0.0	1/8	1/8	Spanner	2/4	1	1	0													18	
