mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	Trill:trill
39	39	305/4	305/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	468		articStaccatoAbove													
39	39	153/2	153/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	469		articStaccatoAbove													
39	39	307/4	307/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	470		articStaccatoAbove													
39	39	77	77	0.0	1/4	1/4	Spanner	2/4	2	1	0																	5	5	
39	39	77	77	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	471									32				5	5	
39	39	309/4	309/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	472									32				5	5	
39	39	155/2	155/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	473									32				5	5	
39	39	311/4	311/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	474									32				5	5	
39	39	77	77	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	475													5	5	
40	40	78	78	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	476		articStaccatoAbove													
40	40	313/4	313/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	477		articStaccatoAbove													
40	40	157/2	157/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	478		articStaccatoAbove													
40	40	315/4	315/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	479		articStaccatoAbove													
40	40	79	79	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	480		articStaccatoAbove													
40	40	317/4	317/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	481		articStaccatoAbove													
40	40	159/2	159/2	0.0	3/8	3/8	Dynamic	2/4	1	1	0					mf														
40	40	159/2	159/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	482		articStaccatoAbove													
40	40	319/4	319/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	483									33						
40	40	78	78	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	484													5	5	
40	40	157/2	157/2	0.0	1/8	1/8	Spanner	2/4	2	1	0																			
41	41	80	80	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	485									33						
41	41	321/4	321/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	486									33						
41	41	161/2	161/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	487									33						
41	41	323/4	323/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	488									33						
41	41	81	81	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	489									33						
41	41	325/4	325/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	490									33						
41	41	163/2	163/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	491									33						
41	41	327/4	327/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	492		articAccentBelow							34						
41	41	327/4	327/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	493															
41	41	80	80	0.0	0	0	Spanner	2/4	2	1	0																	6	6	
41	41	80	80	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	494									35				6	6	
41	41	321/4	321/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	495									35				6	6	
41	41	161/2	161/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	496									35				6	6	
41	41	323/4	323/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	497									35				6	6	
41	41	81	81	0.0	1/4	1/4	StaffText	2/4	2	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>rinforzando, diminuendo"										6	6	
41	41	81	81	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	498													6	6	
41	41	163/2	163/2	0.0	3/8	3/8	Spanner	2/4	2	1	0																			
41	41	80	80	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	499															
42	42	82	82	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>legatissimo"						34						
42	42	82	82	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	500									34						
42	42	329/4	329/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	501									34						
42	42	165/2	165/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	502									34						
42	42	331/4	331/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	503									34						
42	42	83	83	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	504									34						
42	42	333/4	333/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	505									34						
42	42	167/2	167/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	506									34						
42	42	335/4	335/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	507		articAccentBelow							36						
42	42	82	82	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	508									37						
42	42	83	83	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	509															
43	43	84	84	0.0	0	0	Spanner	2/4	1	1	0													36		7				
43	43	84	84	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	510									36		7				
43	43	337/4	337/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	511									36		7				
43	43	169/2	169/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	512									36		7				
43	43	339/4	339/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	513									36		7				
43	43	85	85	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	514									36		7				
43	43	341/4	341/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	515									36		7				
43	43	171/2	171/2	0.0	3/8	3/8	Spanner	2/4	1	1	0													36						
43	43	171/2	171/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	516									36						
43	43	343/4	343/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	517									38						
43	43	84	84	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	518									39						
43	43	85	85	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	519															
43	43	84	84	0.0	0	0	Dynamic	2/4	2	1	0					p														
43	43	84	84	0.0	0	0	StaffText	2/4	2	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>diminuendo"												
43	43	84	84	0.0	0	0	Spanner	2/4	2	1	0																	7	7	
43	43	84	84	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	520									40				7	7	
43	43	85	85	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	521													7	7	
44	44	86	86	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	522									38						
44	44	345/4	345/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	523									38						
44	44	173/2	173/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	524									38						
44	44	347/4	347/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	525									38						
44	44	87	87	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	526									38						
44	44	349/4	349/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	527									38						
44	44	175/2	175/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	528									38						
44	44	351/4	351/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	529									41						
44	44	86	86	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	530									42						
44	44	87	87	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	531															
45	45	88	88	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	532									41						
45	45	353/4	353/4	0.0	1/16	1/16	StaffText	2/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>tenebroso"						41						
45	45	353/4	353/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	533									41						
45	45	177/2	177/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	534									41						
45	45	355/4	355/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	535									41						
45	45	89	89	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	536									41						
45	45	357/4	357/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	537									41						
45	45	179/2	179/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	538									41						
45	45	359/4	359/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	539															
45	45	88	88	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	540									43						
45	45	89	89	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	541															
45	45	88	88	0.0	0	0	StaffText	2/4	2	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>dolente"												
45	45	88	88	0.0	0	0	Dynamic	2/4	2	1	0					pp														
45	45	88	88	0.0	0	0	Spanner	2/4	2	1	0																			
45	45	177/2	177/2	0.0	1/8	1/8	Spanner	2/4	2	1	0															8				
45	45	177/2	177/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	542									44		8				
45	45	89	89	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	543											8				
45	45	179/2	179/2	0.0	3/8	3/8	Spanner	2/4	2	1	0																			
45	45	179/2	179/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	544									45						
45	45	89	89	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	545									46						
46	46	90	90	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	546									47						
46	46	361/4	361/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	547									47						
46	46	181/2	181/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	548									47						
46	46	363/4	363/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	549									47						
46	46	91	91	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	550									47						
46	46	365/4	365/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	551									47						
46	46	183/2	183/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	552									47						
46	46	367/4	367/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	553									48						
46	46	90	90	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	554									49						
46	46	91	91	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	555															
46	46	90	90	0.0	0	0	Spanner	2/4	2	1	0													45						
46	46	90	90	0.0	0	0	Spanner	2/4	2	1	0													45						
46	46	90	90	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	556		articTenutoAbove							45						
46	46	181/2	181/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	557									45						
46	46	91	91	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	558															
46	46	183/2	183/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	559									50						
46	46	90	90	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	560															
47	47	92	92	0.0	0	0	Spanner	2/4	1	1	0													48	11					
47	47	92	92	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	561									48	11					
47	47	369/4	369/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	562									48	11					
47	47	185/2	185/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	563									48	11					
47	47	371/4	371/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	564									48	11					
47	47	93	93	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	565									48	11					
47	47	373/4	373/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	566									48	11					
47	47	187/2	187/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	567									48	11					
47	47	375/4	375/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	568									51	11					
47	47	92	92	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	569									52	11					
47	47	93	93	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	570										11					
47	47	92	92	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	571									50						
47	47	185/2	185/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	572									50						
47	47	93	93	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	573									50						
47	47	187/2	187/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	574									50						
47	47	93	93	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	575									53						
48	48	94	94	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	576									51	11					
48	48	377/4	377/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	577									51	11					
48	48	189/2	189/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	578									51	11					
48	48	379/4	379/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	579									51	11					
48	48	95	95	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	580									51	11					
48	48	381/4	381/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	581									51	11					
48	48	191/2	191/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	582									51	11					
48	48	383/4	383/4	0.0	7/16	7/16	Spanner	2/4	1	1	0																			
48	48	383/4	383/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	583									54						
48	48	94	94	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	584															
48	48	95	95	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	585															
48	48	191/2	191/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	586															
48	48	94	94	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	587		articTenutoAbove							50						
48	48	189/2	189/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	588									50						
48	48	95	95	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	589															
48	48	191/2	191/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	590															
48	48	94	94	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	591															
49	49	96	96	0.0	0	0	Spanner	2/4	1	1	0															9				
49	49	96	96	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	592											9				
49	49	385/4	385/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	593											9				
49	49	193/2	193/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	594											9				
49	49	387/4	387/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	595											9				
49	49	97	97	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	596											9				
49	49	389/4	389/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	597											9				
49	49	195/2	195/2	0.0	3/8	3/8	Spanner	2/4	1	1	0																			
49	49	195/2	195/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	598															
49	49	391/4	391/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	599									55						
49	49	96	96	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	600									56						
49	49	97	97	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	601															
49	49	96	96	0.0	0	0	StaffText	2/4	2	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>dimin."												
49	49	193/2	193/2	0.0	1/8	1/8	Dynamic	2/4	2	1	0					p														
49	49	193/2	193/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	602									57						
49	49	97	97	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	603															
49	49	195/2	195/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	604									58						
49	49	97	97	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	605															
50	50	98	98	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	606									55						
50	50	393/4	393/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	607									55						
50	50	197/2	197/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	608									55						
50	50	395/4	395/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	609									55						
50	50	99	99	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	610									55						
50	50	397/4	397/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	611									55						
50	50	199/2	199/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	612									55						
50	50	399/4	399/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	613									59						
50	50	98	98	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	614									60						
50	50	99	99	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	615															
50	50	98	98	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	616									58						
50	50	197/2	197/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	617									58						
50	50	99	99	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	618															
50	50	199/2	199/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	619									61						
50	50	98	98	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	620															
51	51	100	100	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	621									59						
51	51	401/4	401/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	622									59						
51	51	201/2	201/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	623									59						
51	51	403/4	403/4	0.0	3/16	3/16	Spanner	2/4	1	1	0													59	12					
51	51	403/4	403/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	624									59	12					
51	51	101	101	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	625									59	12					
51	51	405/4	405/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	626									59	12					
51	51	203/2	203/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	627									59	12					
51	51	407/4	407/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	628									62	12					
51	51	100	100	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	629										12					
51	51	101	101	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	630										12					
51	51	100	100	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	631									61						
51	51	201/2	201/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	632									61						
51	51	101	101	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	633									61						
51	51	203/2	203/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	634									61						
51	51	101	101	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	635															
52	52	102	102	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	636									62	12					
52	52	409/4	409/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	637									62	12					
52	52	205/2	205/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	638									62	12					
52	52	411/4	411/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	639									62	12					
52	52	103	103	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	640									62	12					
52	52	413/4	413/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	641									62	12					
52	52	207/2	207/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	642									62	12					
52	52	415/4	415/4	0.0	7/16	7/16	Spanner	2/4	1	1	0																			
52	52	415/4	415/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	643															
52	52	102	102	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	644															
52	52	102	102	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	645									61						
52	52	205/2	205/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	646									61						
52	52	103	103	0.0	1/4	1/4	Spanner	2/4	2	1	0													61				8	8	
52	52	103	103	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	647									61, 63				8	8	
52	52	207/2	207/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	648													8	8	
52	52	102	102	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	649													8	8	
53	53	417/4	417/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	650															
53	53	209/2	209/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	651															
53	53	419/4	419/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	652															
53	53	105	105	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	653															
53	53	421/4	421/4	0.0	5/16	5/16	Spanner	2/4	1	1	0														13					
53	53	421/4	421/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	654										13					
53	53	211/2	211/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	655										13					
53	53	423/4	423/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	656										13					
53	53	417/4	417/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	657										13					
53	53	105	105	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	658										13					
53	53	104	104	0.0	0	0	Dynamic	2/4	2	1	0					pp												8	8	
53	53	104	104	0.0	0	0	StaffText	2/4	2	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>subito"										8	8	
53	53	104	104	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	659													8	8	
53	53	105	105	0.0	1/4	1/4	StaffText	2/4	2	1	0							♭												
53	53	105	105	0.0	1/4	1/4	Spanner	2/4	2	1	0																			
53	53	105	105	0.0	1/4	1/4	Spanner	2/4	2	1	0																			0
53	53	105	105	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	660															0
54	54	106	106	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	661										13					
54	54	425/4	425/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	662										13					
54	54	213/2	213/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	663										13					
54	54	427/4	427/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	664										13					
54	54	107	107	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	665										13					
54	54	429/4	429/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	666										13					
54	54	215/2	215/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	667										13					
54	54	431/4	431/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	668										13					
54	54	425/4	425/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	669										13					
54	54	107	107	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	670										13					
54	54	106	106	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	671															0
54	54	106	106	0.0	0	0	StaffText	2/4	3	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>ossia"												
55	55	108	108	0.0	0	0	Spanner	2/4	1	1	0																			
55	55	108	108	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	672															
55	55	433/4	433/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	673															
55	55	217/2	217/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	674															
55	55	435/4	435/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	675															
55	55	109	109	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	676															
55	55	437/4	437/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	677															
55	55	219/2	219/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	678															
55	55	439/4	439/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	679															
55	55	433/4	433/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	680															
55	55	109	109	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	681															
55	55	108	108	0.0	0	0	Dynamic	2/4	2	1	0					pp														
55	55	108	108	0.0	0	0	Spanner	2/4	2	1	0																			
55	55	108	108	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	682															
55	55	109	109	0.0	1/4	1/4	StaffText	2/4	2	1	0							♭												
55	55	109	109	0.0	1/4	1/4	Spanner	2/4	2	1	0														14					
55	55	109	109	0.0	1/4	1/4	Spanner	2/4	2	1	0														14					1
55	55	109	109	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	683										14					1
55	55	108	108	0.0	0	0	Dynamic	2/4	3	1	0					pp														
55	55	108	108	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	684															
55	55	109	109	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	685									64						
55	55	437/4	437/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	686									64						
55	55	219/2	219/2	0.16666666666666666	3/8	3/8	Chord	2/4	3	1	1/24		1/16	2/3	687									64						
55	55	329/3	329/3	0.16666666666666666	5/12	5/12	Chord	2/4	3	1	1/24		1/16	2/3	688									64						
55	55	659/6	659/6	0.16666666666666666	11/24	11/24	Chord	2/4	3	1	1/24		1/16	2/3	689									64						
56	56	110	110	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	690															
56	56	441/4	441/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	691															
56	56	221/2	221/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	692															
56	56	443/4	443/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	693															
56	56	111	111	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	694															
56	56	445/4	445/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	695															
56	56	223/2	223/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	696															
56	56	447/4	447/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	697															
56	56	441/4	441/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	698															
56	56	111	111	0.75	1/4	1/4	Chord	2/4	1	2	3/16		1/8	3/2	699															
56	56	447/4	447/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	700															
56	56	110	110	0.0	0	0	Spanner	2/4	2	1	0																			1
56	56	110	110	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	701															1
56	56	110	110	0.16666666666666666	0	0	Chord	2/4	3	1	1/24		1/16	2/3	702									64						
56	56	661/6	661/6	0.16666666666666666	1/24	1/24	Chord	2/4	3	1	1/24		1/16	2/3	703									64						
56	56	331/3	331/3	0.16666666666666666	1/12	1/12	Chord	2/4	3	1	1/24		1/16	2/3	704									64						
56	56	221/2	221/2	0.16666666666666666	1/8	1/8	Chord	2/4	3	1	1/24		1/16	2/3	705									64						
56	56	332/3	332/3	0.16666666666666666	1/6	1/6	Chord	2/4	3	1	1/24		1/16	2/3	706									64						
56	56	665/6	665/6	0.16666666666666666	5/24	5/24	Chord	2/4	3	1	1/24		1/16	2/3	707									64						
