mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
17	17	65	65	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	235									56					
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	236									56					
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	237									56					
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	238									56					
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	239									56					
17	17	64	64	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	240														
17	17	65	65	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	241														
17	17	64	64	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	242														
17	17	65	65	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	243									57					
17	17	66	66	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	244									57					
17	17	67	67	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	245									57					
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	246									57					
17	17	64	64	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	247														
17	17	65	65	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	248														
17	17	66	66	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	249														
17	17	67	67	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	250														
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	251									58					
18	18	69	69	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	252									58					
18	18	71	71	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	253														
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	254														
18	18	68	68	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	255									59					
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	256									59					
18	18	70	70	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	257														
18	18	71	71	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	258														
18	18	68	68	2.0	0	0	Chord	4/4	1	3	1/2		1/2	1	259														
18	18	68	68	0.0	0	0	Spanner	4/4	2	1	0													57	2				
18	18	68	68	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	260									57	2				
