mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	crescendo_hairpin	decrescendo_hairpin	crescendo_line
26	25	101/2	101/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	252										47				
27	26	51	51	0.0	0	0	Spanner	2/4	1	1	0																		
27	26	51	51	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	253														
27	26	103/2	103/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	254										48				
27	26	52	52	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	255										48				
27	26	209/4	209/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	256										48				
27	26	105/2	105/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	257										48				
27	26	51	51	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	258														
27	26	103/2	103/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	259														
27	26	52	52	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	260														
27	26	105/2	105/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	261														
27	26	51	51	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	262														
27	26	103/2	103/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	263										49				
27	26	52	52	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	264										49				
27	26	105/2	105/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	265										49				
27	26	51	51	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	266														
28	27	53	53	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	267														
28	27	107/2	107/2	0.0	1/8	1/8	Spanner	2/4	1	1	0																	5	
28	27	107/2	107/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	268		articTenutoAbove								50			5	
28	27	109/2	109/2	0.0	3/8	3/8	StaffText	2/4	1	1	0							calando							50			5	
28	27	109/2	109/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	269										50			5	
28	27	219/4	219/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	270										50			5	
28	27	107/2	107/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	271													5	
28	27	54	54	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	272													5	
28	27	109/2	109/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	273													5	
28	27	53	53	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	274														
28	27	107/2	107/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	275		articTenutoBelow								51				
28	27	54	54	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	276		articTenutoBelow								51				
28	27	109/2	109/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	277		articTenutoBelow								51				
29	28	55	55	0.0	0	0	Spanner	2/4	1	1	0																		
29	28	55	55	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	278														
29	28	111/2	111/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	279										52				
29	28	56	56	0.0	1/4	1/4	StaffText	2/4	1	1	0							poco											
29	28	56	56	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	280														
29	28	55	55	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	281														
29	28	111/2	111/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	282														
29	28	56	56	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	283														
29	28	55	55	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	284		articTenutoAbove								51				
29	28	111/2	111/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	285		articTenutoAbove												
29	28	56	56	0.0	1/4	1/4	Dynamic	2/4	2	1	0					p													
29	28	56	56	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	286		articTenutoAbove												
29	28	55	55	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	287														
29	28	221/4	221/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	288														
29	28	111/2	111/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	289														
29	28	56	56	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	290														
30	29	57	57	0.0	0	0	SystemText	2/4	1	1	0								"placido, legatissimo
"										
30	29	57	57	0.0	0	0	SystemText	2/4	1	1	0								piu 										
30	29	57	57	0.0	0	0	Dynamic	2/4	1	1	0					p													
30	29	57	57	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	291										53				
30	29	115/2	115/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	292														
30	29	58	58	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	293		articTenutoAbove												
30	29	57	57	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	294										54				
30	29	115/2	115/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	295										54				
30	29	58	58	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	296										54				
30	29	117/2	117/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	297														
30	29	57	57	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	298										55				
30	29	115/2	115/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	299										55				
30	29	58	58	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	300										55				
30	29	117/2	117/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	301														
30	29	57	57	0.0	0	0	StaffText	2/4	2	2	0							"una corda
"											
30	29	57	57	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	302														
31	30	59	59	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	303										56				
31	30	119/2	119/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	304										56				
31	30	60	60	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	305		articTenutoAbove												
31	30	59	59	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	306										57				
31	30	119/2	119/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	307										57				
31	30	60	60	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	308										57				
31	30	121/2	121/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	309														
31	30	59	59	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	310										58				
31	30	119/2	119/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	311										58				
31	30	60	60	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	312										58				
31	30	121/2	121/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	313														
31	30	59	59	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	314														
32	31	61	61	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	315										59				
32	31	123/2	123/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	316														
32	31	62	62	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	317		articTenutoAbove												
32	31	61	61	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	318										60				
32	31	123/2	123/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	319										60				
32	31	62	62	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	320										60				
32	31	125/2	125/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	321														
32	31	61	61	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	322										61				
32	31	123/2	123/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	323										61				
32	31	62	62	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	324										61				
32	31	125/2	125/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	325														
32	31	61	61	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	326														
33	32	63	63	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	327										62				
33	32	127/2	127/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	328										62				
33	32	255/4	255/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	329										62				
33	32	64	64	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	330										62				
33	32	129/2	129/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	331										62				
33	32	63	63	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	332										63				
33	32	127/2	127/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	333										63				
33	32	64	64	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	334										63				
33	32	129/2	129/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	335										63				
33	32	63	63	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	336										64				
33	32	127/2	127/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	337														
33	32	64	64	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	338										65				
33	32	129/2	129/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	339														
33	32	63	63	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	340														
34	33	65	65	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	341														
34	33	65	65	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	342										63				
34	33	131/2	131/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	343										63				
34	33	66	66	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	344										63				
34	33	133/2	133/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	345														
34	33	65	65	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	346										66				
34	33	131/2	131/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	347										66				
34	33	66	66	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	348										66				
34	33	133/2	133/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	349														
34	33	65	65	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	350														
35	34	67	67	0.0	0	0	Dynamic	2/4	1	1	0					f													
35	34	67	67	0.0	0	0	Spanner	2/4	1	1	0																5		
35	34	67	67	0.0	0	0	Spanner	2/4	1	1	0																5, 6		
35	34	67	67	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	351										67		5, 6		
35	34	67	67	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	352										67		5, 6		
35	34	67	67	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	353										67		5, 6		
35	34	271/4	271/4	0.0	3/16	3/16	Spanner	2/4	1	1	0														67		6		
35	34	271/4	271/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	354										67		6		
35	34	68	68	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	355												6		
35	34	67	67	0.0	0	0	StaffText	2/4	1	2	0							piu									6		
35	34	135/2	135/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	356										68		6		
35	34	68	68	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	357										68		6		
35	34	137/2	137/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	358										68		6		
35	34	135/2	135/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	359										69				
35	34	68	68	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	360										69				
35	34	137/2	137/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	361										69				
36	35	69	69	0.0	0	0	Spanner	2/4	1	1	0																		
36	35	69	69	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	362														
36	35	69	69	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	363										70				
36	35	139/2	139/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	364										70				
36	35	279/4	279/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	365										70				
36	35	70	70	0.0	1/4	1/4	Spanner	2/4	1	1	0														70			6	
36	35	70	70	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	366										70			6	
36	35	141/2	141/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	367										70			6	
36	35	69	69	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	368										68			6	
36	35	139/2	139/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	369													6	
36	35	141/2	141/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	370										71			6	
36	35	69	69	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	371										69				
36	35	139/2	139/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	372														
36	35	141/2	141/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	373										72				
37	36	71	71	0.0	0	0	Spanner	2/4	1	1	0																		
37	36	71	71	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	374														
37	36	71	71	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	375										71				
37	36	72	72	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	376														
37	36	71	71	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	377										72				
37	36	143/2	143/2	0.0	1/8	1/8	StaffText	2/4	2	1	0							dim.							72				
37	36	143/2	143/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	378										72				
37	36	287/4	287/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	379										72				
37	36	72	72	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	380										72				
37	36	145/2	145/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	381														
37	36	71	71	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	382														
37	36	145/2	145/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	383														
38	37	73	73	0.0	0	0	StaffText	2/4	1	1	0							cresc. risoluto											
38	37	73	73	0.0	0	0	Spanner	2/4	1	1	0																7		
38	37	73	73	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	384										73		7		
38	37	73	73	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	385										73		7		
38	37	73	73	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	386										73		7		
38	37	295/4	295/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	387										73		7		
38	37	74	74	0.0	1/4	1/4	Spanner	2/4	1	1	0																		
38	37	74	74	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	388														
38	37	147/2	147/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	389										74				
38	37	74	74	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	390										74				
38	37	149/2	149/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	391										74				
38	37	147/2	147/2	0.0	1/8	1/8	Spanner	2/4	2	1	0																8		
38	37	147/2	147/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	392										75		8		
38	37	74	74	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	393										75		8		
38	37	149/2	149/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	394										75		8		
39	38	75	75	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	395										76				
39	38	75	75	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	396										76				
39	38	151/2	151/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	397										76				
39	38	303/4	303/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	398										76				
39	38	76	76	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	399										76				
39	38	153/2	153/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	400										76				
39	38	75	75	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	401										74				
39	38	151/2	151/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	402														
39	38	153/2	153/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	403										77				
39	38	75	75	0.0	0	0	Spanner	2/4	2	1	0														75				
39	38	75	75	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	404										75				
39	38	151/2	151/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	405														
39	38	153/2	153/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	406										78				
40	39	77	77	0.0	0	0	Dynamic	2/4	1	1	0					f													
40	39	77	77	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	407														
40	39	155/2	155/2	0.0	1/8	1/8	Spanner	2/4	1	1	0																	7	
40	39	155/2	155/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	408		articTenutoAbove											7	
40	39	157/2	157/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	409		articTenutoAbove											7	
40	39	155/2	155/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	410										79			7	
40	39	78	78	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	411										79			7	
40	39	157/2	157/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	412										79			7	
40	39	77	77	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	413														
40	39	155/2	155/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	414														
40	39	157/2	157/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	415														
40	39	155/2	155/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	416										80				
40	39	78	78	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	417										80				
40	39	157/2	157/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	418										80				
41	40	79	79	0.0	0	0	Spanner	2/4	1	1	0																		
41	40	79	79	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	419														
41	40	159/2	159/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	420										81				
41	40	80	80	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	421										81				
41	40	321/4	321/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	422										81				
41	40	161/2	161/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	423										81				
41	40	79	79	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	424														
41	40	159/2	159/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	425														
41	40	80	80	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	426														
41	40	161/2	161/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	427														
41	40	79	79	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	428														
41	40	159/2	159/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	429										82				
41	40	80	80	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	430										82				
41	40	161/2	161/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	431										82				
41	40	79	79	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	432														
42	41	81	81	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	433														
42	41	163/2	163/2	0.0	1/8	1/8	Spanner	2/4	1	1	0																	8	
42	41	163/2	163/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	434		articTenutoAbove								83			8	
42	41	165/2	165/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	435										83			8	
42	41	331/4	331/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	436										83			8	
42	41	81	81	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	437													8	
42	41	163/2	163/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	438													8	
42	41	82	82	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	439													8	
42	41	165/2	165/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	440										84			8	
42	41	81	81	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	441														
42	41	163/2	163/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	442		articTenutoAbove												
42	41	82	82	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	443		articTenutoAbove												
42	41	165/2	165/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	444		articTenutoAbove												
43	42	83	83	0.0	0	0	StaffText	2/4	1	1	0							poco ritenuto										8	
43	42	83	83	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	445													8	
43	42	167/2	167/2	0.0	1/8	1/8	Spanner	2/4	1	1	0																		
43	42	167/2	167/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	446										85				
43	42	84	84	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	447														
43	42	83	83	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	448														
43	42	167/2	167/2	0.0	1/8	1/8	StaffText	2/4	1	2	0							dimin.											
43	42	167/2	167/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	449														
43	42	84	84	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	450														
43	42	169/2	169/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	451														
43	42	83	83	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	452		articTenutoAbove												
43	42	167/2	167/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	453		articTenutoAbove												
43	42	84	84	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	454		articTenutoAbove												
43	42	83	83	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	455										86				
43	42	333/4	333/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	456										86				
43	42	167/2	167/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	457														
43	42	84	84	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	458										87				
43	42	337/4	337/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	459										87				
43	42	169/2	169/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	460														
44	43	85	85	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	461										88				
44	43	171/2	171/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	462														
44	43	86	86	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	463		articTenutoAbove												
44	43	85	85	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	464										89				
44	43	171/2	171/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	465										89				
44	43	86	86	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	466										89				
44	43	173/2	173/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	467														
44	43	85	85	0.0	0	0	Dynamic	2/4	2	1	0					p													
44	43	85	85	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	468										90				
44	43	171/2	171/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	469										90				
44	43	86	86	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	470										90				
44	43	173/2	173/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	471														
44	43	85	85	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	472														
45	44	87	87	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	473										91				
45	44	175/2	175/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	474										91				
45	44	88	88	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	475														
45	44	87	87	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	476										92				
45	44	175/2	175/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	477										92				
45	44	88	88	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	478										92				
45	44	177/2	177/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	479														
45	44	87	87	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	480										93				
45	44	175/2	175/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	481										93				
45	44	88	88	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	482										93				
45	44	177/2	177/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	483														
45	44	87	87	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	484														
46	45	89	89	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	485										94				
46	45	179/2	179/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	486										94				
46	45	359/4	359/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	487										94				
46	45	90	90	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	488										94				
46	45	181/2	181/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	489										94				
46	45	89	89	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	490										95				
46	45	179/2	179/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	491										95				
46	45	90	90	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	492										95				
46	45	181/2	181/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	493										95				
46	45	89	89	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	494										96				
46	45	179/2	179/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	495														
46	45	90	90	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	496										97				
46	45	181/2	181/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	497														
46	45	89	89	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	498														
47	46	91	91	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	499														
47	46	91	91	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	500										95				
47	46	183/2	183/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	501										95				
47	46	92	92	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	502										95				
47	46	185/2	185/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	503														
47	46	91	91	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	504										98				
47	46	183/2	183/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	505										98				
47	46	92	92	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	506										98				
47	46	185/2	185/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	507														
47	46	91	91	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	508														
48	47	93	93	0.0	0	0	Spanner	2/4	1	1	0																9		
48	47	93	93	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	509												9		
48	47	93	93	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	510												9		
48	47	93	93	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	511										99		9		
48	47	375/4	375/4	0.0	3/16	3/16	Spanner	2/4	1	1	0														99				
