	composer	piece	title	annotator	meter	tempo	measure	beat	chord	altchord	cadence	pedal	numeral	form	figbass	changes	relativeroot	pedalend	phraseend	global_key	local_key
72	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	20	2.1	VI6				VI		6				False	f	i
73	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	20	2.2	V7/III				V		7		III		False	f	i
74	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	21	1.1	III\\		PAC		III						True	f	i
75	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	21	1.2	iv65				iv		65				False	f	i
76	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	21	2.1	III6				III		6				False	f	i
77	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	21	2.2	iv7				iv		7				False	f	i
78	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	22	1.1	III6				III		6				False	f	i
79	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	22	1.2	#vio				#vi	o					False	f	i
80	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	22	2.1	v6				v		6				False	f	i
81	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	22	2.2	i				i						False	f	i
