mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
81	79	0	vi64(9)		G	iii		vi64(9)	vi			64	9			m	0	1	-3, -4, -7	-2	-4.0	-3.0
81	79	1/8	vi64		G	iii		vi64	vi			64				m	0	1	-3, -4, -7		-4.0	-3.0
82	80	0	vi6(4)		G	iii		vi6(4)	vi			6	4			m	0	1	2, -3, -4		-4.0	2.0
82	80	1/8	vi		G	iii		vi	vi							m	0	1	-4, -7, -3		-4.0	-4.0
83	81	0	iv%7		G	iii		iv%7	iv		%	7				%7	0	1	-1, -2, 5, -3		-1.0	-1.0
83	81	1/4	iv%2		G	iii		iv%2	iv		%	2				%7	0	1	-3, -1, -2, 5		-1.0	-3.0
84	82	0	.bVII.V9		G	iii											0	1				
87	85	3/8	ii%7/iv		G	iii		ii%7/iv	ii		%	7		iv		%7	0	1	1, 0, 7, -1		1.0	1.0
89	87	3/8	V65/bVI		G	iii		V65/bVI	V			65		bVI		Mm7	0	1	-6, -9, -12, -10		-10.0	-6.0
90	88	0	ii%7/iv		G	iii		ii%7/iv	ii		%	7		iv		%7	0	1	1, 0, 7, -1		1.0	1.0
91	89	3/8	#vii%43/ii		G	iii		#vii%43/ii	#vii		%	43		ii		%7	0	1	13, 5, 7, 6		7.0	13.0
92	90	0	iii.vii%43/VI		G	iii		vii%43/VI	vii		%	43		VI		%7	0	1	7, -1, 1, 0		1.0	7.0
93	91	0	vii%43/VI		G	iii		vii%43/VI	vii		%	43		VI		%7	0	1	7, -1, 1, 0		1.0	7.0
93	91	3/8	V65/VI		G	iii		V65/VI	V			65		VI		Mm7	0	1	1, -2, -5, -3		-3.0	1.0
94	92	0	vii%43/VI		G	iii		vii%43/VI	vii		%	43		VI		%7	0	1	7, -1, 1, 0		1.0	7.0
96	94	0	V2/VI		G	iii		V2/VI	V			2		VI		Mm7	0	1	-5, -3, 1, -2		-3.0	-5.0
96	94	1/4	VI6		G	iii		VI6	VI			6				M	0	1	0, -3, -4		-4.0	0.0
97	95	0	.Ger6(#4)/III		G	iii		Ger6(#4)/III	vii	Ger	o	65	#4b3	V/III		M	0	1	-7, 9, -6, 3		3.0	-7.0
97	95	1/8	.Ger6/III		G	iii		Ger6/III	vii	Ger	o	65	b3	V/III		M	0	1	-7, -3, -6, 3		3.0	-7.0
98	96	1/4	III64		G	iii		III64	III			64				M	0	1	-2, -3, 1		-3.0	-2.0
99	97	0	ii%65(9)/III		G	iii		ii%65(9)/III	ii		%	65	9	III		%7	0	1	-2, 5, -3, -1	1	-1.0	-2.0
99	97	1/8	ii%65/III		G	iii		ii%65/III	ii		%	65		III		%7	0	1	-2, 5, -3, -1		-1.0	-2.0
100	98	0	V(94)		G	iii		V(94)	V				94			M	0	1	1, 0, 2	-4	1.0	1.0
100	98	1/4	V(6)		G	iii		V(6)	V				6			M	0	1	1, 5, -3		1.0	1.0
101	99	0	i64		G	iii		i64	i			64				m	0	1	1, 0, -3		0.0	1.0
101	99	1/4	i64(119)		G	iii		i64(119)	i			64	119			m	0	1	1, 0, -3	-1, 2	0.0	1.0
102	100	0	iii6		G	iii		iii6	iii			6				m	0	1	-6, -2, -3		-3.0	-6.0
102	100	1/4	iv(119)		G	iii		iv(119)	iv				119			m	0	1	-1, -4, 0	-2, 1	-1.0	-1.0
103	101	0	iii6		G	iii		iii6	iii			6				m	0	1	-6, -2, -3		-3.0	-6.0
103	101	1/4	iii6(11b6)		G	iii		iii6(11b6)	iii			6	11b6			m	0	1	-6, -7, -3	-4	-3.0	-6.0
104	102	0	V7/VII		G	iii		V7/VII	V			7		VII		Mm7	0	1	-1, 3, 0, -3		-1.0	-1.0
104	102	1/4	V2(6#4)/VII		G	iii		V2(6#4)/VII	V			2	6#4	VII		Mm7	0	1	-3, -1, 3, 5		-1.0	-3.0
105	103	0	V7/VII		G	iii		V7/VII	V			7		VII		Mm7	0	1	-1, 3, 0, -3		-1.0	-1.0
105	103	1/4	V7(6)/VII		G	iii		V7(6)/VII	V			7	6	VII		Mm7	0	1	-1, 3, 2, -3		-1.0	-1.0
106	104	0	V43/bII		G	iii		V43/bII	V			43		bII		Mm7	0	1	-3, -6, -4, 0		-4.0	-3.0
106	104	1/4	V6(6)/bII		G	iii		V6(6)/bII	V			6	6	bII		M	0	1	0, -1, -4		-4.0	0.0
107	105	0	V7(9)/v		G	iii		V7(9)/v	V			7	9	v		Mm7	0	1	2, 6, 3, 0	-3	2.0	2.0
107	105	1/4	V7(b56)		G	iii		V7(b56)	V			7	b56			Mm7	0	1	1, 5, -3, -1		1.0	1.0
108	106	0	i\\		G	iii		i	i						\\	m	0	1	0, -3, 1		0.0	0.0
109	107	0	III		G	iii		III	III							M	0	1	-3, 1, -2		-3.0	-3.0
110	108	0	i		G	iii		i	i							m	0	1	0, -3, 1		0.0	0.0
110	108	3/8	ii%7		G	iii		ii%7	ii		%	7				%7	0	1	2, 1, 8, 0		2.0	2.0
111	109	0	i6		G	iii		i6	i			6				m	0	1	-3, 1, 0		0.0	-3.0
111	109	1/8	i		G	iii		i	i							m	0	1	0, -3, 1		0.0	0.0
111	109	1/4	VI		G	iii		VI	VI							M	0	1	-4, 0, -3		-4.0	-4.0
111	109	3/8	v6		G	iii		v6	v			6				m	0	1	-2, 2, 1		1.0	-2.0
112	110	0	i7		G	iii		i7	i			7				mm7	0	1	0, -3, 1, -2		0.0	0.0
112	110	1/8	.bI		G	iii		bI	bI							M	0	1	-7, -3, -6		-7.0	-7.0
113	111	3/8	ii%7/bI		G	iii		ii%7/bI	ii		%	7		bI		%7	0	1	-5, -6, 1, -7		-5.0	-5.0
114	112	0	.bI6		G	iii		bI6	bI			6				M	0	1	-3, -6, -7		-7.0	-3.0
114	112	1/8	.bI(9)		G	iii		bI(9)	bI				9			M	0	1	-7, -3, -6	2	-7.0	-7.0
114	112	1/4	vi/bI		G	iii		vi/bI	vi					bI		m	0	1	-4, -7, -3		-4.0	-4.0
114	112	3/8	V/III		G	iii		V/III	V					III		M	0	1	-2, 2, -1		-2.0	-2.0
115	113	0	.bVI/III		G	iii		bVI/III	bVI					III		M	0	1	-7, -3, -6		-7.0	-7.0
115	113	1/8	VII		G	iii		VII	VII							M	0	1	-2, 2, -1		-2.0	-2.0
116	114	0	II.I		G	II		I	I							M	0	0	0, 4, 1		0.0	0.0
116	114	3/8	ii7		G	II		ii7	ii			7				mm7	0	0	2, -1, 3, 0		2.0	2.0
117	115	0	I6		G	II		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
117	115	1/8	IM7		G	II		IM7	I		M	7				MM7	0	0	0, 4, 1, 5		0.0	0.0
117	115	1/4	vi%43		G	II		vi%43	vi		%	43				%7	0	0	9, 1, 3, 2		3.0	9.0
118	116	0	ii(4)		G	II		ii(4)	ii				4			m	0	0	2, 1, 3		2.0	2.0
118	116	1/8	ii7		G	II		ii7	ii			7				mm7	0	0	2, -1, 3, 0		2.0	2.0
118	116	1/4	vii%43		G	II		vii%43	vii		%	43				%7	0	0	11, 3, 5, 4		5.0	11.0
119	117	0	iii(4)		G	II		iii(4)	iii				4			m	0	0	4, 3, 5		4.0	4.0
119	117	1/8	iii7		G	II		iii7	iii			7				mm7	0	0	4, 1, 5, 2		4.0	4.0
119	117	3/8	iii6		G	II		iii6	iii			6				m	0	0	1, 5, 4		4.0	1.0
120	118	0	ii6		G	II		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
120	118	3/16	ii6(4)		G	II		ii6(4)	ii			6	4			m	0	0	1, 3, 2		2.0	1.0
120	118	5/16	vi64(4)		G	II		vi64(4)	vi			64	4			m	0	0	4, 3, 2		3.0	4.0
120	118	7/16	iv		G	II		iv	iv							m	0	0	-1, -4, 0		-1.0	-1.0
121	119	1/16	V64		G	II		V64	V			64				M	0	0	2, 1, 5		1.0	2.0
121	119	3/16	V2		G	II		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
121	119	5/16	I6		G	II		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
121	119	7/16	IV		G	II		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
122	120	0	ii7		G	II		ii7	ii			7				mm7	0	0	2, -1, 3, 0		2.0	2.0
122	120	3/16	viio/IV		G	II		viio/IV	vii		o			IV		o	0	0	4, 1, -2		4.0	4.0
122	120	5/16	IV64		G	II		IV64	IV			64				M	0	0	0, -1, 3		-1.0	0.0
122	120	7/16	.bIII		G	II		bIII	bIII							M	0	0	-3, 1, -2		-3.0	-3.0
123	121	0	V/v		G	II		V/v	V					v		M	0	0	2, 6, 3		2.0	2.0
123	121	3/16	V2/bVII		G	II		V2/bVII	V			2		bVII		Mm7	0	0	-3, -1, 3, 0		-1.0	-3.0
123	121	5/16	V7/IV		G	II		V7/IV	V			7		IV		Mm7	0	0	0, 4, 1, -2		0.0	0.0
123	121	7/16	.bVII6		G	II		bVII6	bVII			6				M	0	0	2, -1, -2		-2.0	2.0
124	122	0	iii.bII64		G	iii		bII64	bII			64				M	0	1	-4, -5, -1		-5.0	-4.0
124	122	1/4	iv6		G	iii		iv6	iv			6				m	0	1	-4, 0, -1		-1.0	-4.0
124	122	3/8	V/bII		G	iii		V/bII	V					bII		M	0	1	-4, 0, -3		-4.0	-4.0
125	123	0	vii(4)		G	iii		vii(4)	vii				4			m	0	1	-2, -3, -1		-2.0	-2.0
125	123	3/16	iv		G	iii		iv	iv							m	0	1	-1, -4, 0		-1.0	-1.0
125	123	7/16	V		G	iii		V	V							M	0	1	1, 5, 2		1.0	1.0
126	124	0	i6(9)		G	iii		i6(9)	i			6	9			m	0	1	-3, 1, 0	2	0.0	-3.0
126	124	3/16	i6		G	iii		i6	i			6				m	0	1	-3, 1, 0		0.0	-3.0
126	124	5/16	iv		G	iii		iv	iv							m	0	1	-1, -4, 0		-1.0	-1.0
127	125	1/8	i		G	iii		i	i							m	0	1	0, -3, 1		0.0	0.0
128	126	5/16	i7		G	iii		i7	i			7				mm7	0	1	0, -3, 1, -2		0.0	0.0
128	126	7/16	iv64		G	iii		iv64	iv			64				m	0	1	0, -1, -4		-1.0	0.0
129	127	1/16	.bII		G	iii		bII	bII							M	0	1	-5, -1, -4		-5.0	-5.0
129	127	3/8	i		G	iii		i	i							m	0	1	0, -3, 1		0.0	0.0
131	129	0	iv6(9)		G	iii		iv6(9)	iv			6	9			m	0	1	-4, 0, -1	1	-1.0	-4.0
131	129	3/16	iv6		G	iii		iv6	iv			6				m	0	1	-4, 0, -1		-1.0	-4.0
131	129	5/16	VII		G	iii		VII	VII							M	0	1	-2, 2, -1		-2.0	-2.0
132	130	0	III6(9)		G	iii		III6(9)	III			6	9			M	0	1	1, -2, -3	-1	-3.0	1.0
132	130	3/16	III6		G	iii		III6	III			6				M	0	1	1, -2, -3		-3.0	1.0
132	130	5/16	VI		G	iii		VI	VI							M	0	1	-4, 0, -3		-4.0	-4.0
133	131	1/8	i		G	iii		i	i							m	0	1	0, -3, 1		0.0	0.0
134	132	1/8	III+64		G	iii		III+64	III		+	64				+	0	1	5, -3, 1		-3.0	5.0
135	133	0	i2		G	iii		i2	i			2				mm7	0	1	-2, 0, -3, 1		0.0	-2.0
135	133	1/4	#vio		G	iii		#vio	#vi		o					o	0	1	3, 0, -3		3.0	3.0
136	134	0	V2/III		G	iii		V2/III	V			2		III		Mm7	0	1	-4, -2, 2, -1		-2.0	-4.0
136	134	1/4	ii%2/v		G	iii		ii%2/v	ii		%	2		v		%7	0	1	1, 3, 2, 9		3.0	1.0
137	135	0	.It6		G	iii		It6	vii	It	o	6	b3	V		M	0	1	-4, 0, 6		6.0	-4.0
137	135	1/4	V2		G	iii		V2	V			2				Mm7	0	1	-1, 1, 5, 2		1.0	-1.0
138	136	0	i\\		G	iii		i	i						\\	m	0	1	0, -3, 1		0.0	0.0
141	139	3/8	I		G	iii		I	I							M	0	1	0, 4, 1		0.0	0.0
