mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
126	124	247	249	0.5	1/8	1/8	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
126	124	495/2	499/2	0.25	1/4	1/4	2/4	2	1		i6(6)		G	iii		i6(6)		i		6	6					m	0	1	-3, -4, 0		0	-3
126	124	991/4	999/4	1.25	5/16	5/16	2/4	2	1		iv}		G	iii		iv		iv							}	m	0	1	-1, -4, 0		-1	-1
127	125	249	251	1.0	1/8	1/8	2/4	2	1		v{		G	iii		v		v							{	m	0	1	1, -2, 2		1	1
127	125	250	252	0.5	3/8	3/8	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
128	126	501/2	505/2	1.0	0	0	2/4	2	1		i		G	iii		i		i								m	0	1	0, -3, 1		0	0
128	126	503/2	507/2	0.5	1/4	1/4	2/4	2	1		i7		G	iii		i7		i		7						mm7	0	1	0, -3, 1, -2		0	0
128	126	252	254	0.5	3/8	3/8	2/4	2	1		VI6		G	iii		VI6		VI		6						M	0	1	0, -3, -4		-4	0
129	127	505/2	509/2	0.25	0	0	2/4	2	1		iv64		G	iii		iv64		iv		64						m	0	1	0, -1, -4		-1	0
129	127	1011/4	1019/4	1.25	1/16	1/16	2/4	2	1		bII		G	iii		bII		bII								M	0	1	-5, -1, -4		-5	-5
129	127	254	256	1.0	3/8	3/8	2/4	2	1		v		G	iii		v		v								m	0	1	1, -2, 2		1	1
130	128	255	257	0.5	1/8	1/8	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
130	128	511/2	515/2	1.0	1/4	1/4	2/4	2	1		i		G	iii		i		i								m	0	1	0, -3, 1		0	0
131	129	513/2	517/2	0.5	0	0	2/4	2	1		iv6(2)		G	iii		iv6(2)		iv		6	2					m	0	1	-4, 0, 1		-1	-4
131	129	257	259	0.5	1/8	1/8	2/4	2	1		iv6		G	iii		iv6		iv		6						m	0	1	-4, 0, -1		-1	-4
131	129	515/2	519/2	0.25	1/4	1/4	2/4	2	1		viio64/III		G	iii		viio64/III		vii	o	64		III				o	0	1	-4, 2, -1		2	-4
131	129	1031/4	1039/4	0.75	5/16	5/16	2/4	2	1		V/III		G	iii		V/III		V				III				M	0	1	-2, 2, -1		-2	-2
132	130	517/2	521/2	0.5	0	0	2/4	2	1		III6(2)		G	iii		III6(2)		III		6	2					M	0	1	1, -2, -1		-3	1
132	130	259	261	0.5	1/8	1/8	2/4	2	1		III6		G	iii		III6		III		6						M	0	1	1, -2, -3		-3	1
132	130	519/2	523/2	0.5	1/4	1/4	2/4	2	1		i64		G	iii		i64		i		64						m	0	1	1, 0, -3		0	1
132	130	260	262	1.0	3/8	3/8	2/4	2	1		VI		G	iii		VI		VI								M	0	1	-4, 0, -3		-4	-4
133	131	261	263	1.0	1/8	1/8	2/4	2	1		v		G	iii		v		v								m	0	1	1, -2, 2		1	1
133	131	262	264	0.5	3/8	3/8	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
134	132	525/2	529/2	1.0	0	0	2/4	2	1		i		G	iii		i		i								m	0	1	0, -3, 1		0	0
134	132	527/2	531/2	1.0	1/4	1/4	2/4	2	1		i(#0)		G	iii		i(#0)		i			#0					m	0	1	0, -3, 1		0	0
135	133	529/2	533/2	1.0	0	0	2/4	2	1		i2		G	iii		i2		i		2						mm7	0	1	-2, 0, -3, 1		0	-2
135	133	531/2	535/2	1.0	1/4	1/4	2/4	2	1		IV6		G	iii		IV6		IV		6						M	0	1	3, 0, -1		-1	3
136	134	533/2	537/2	1.0	0	0	2/4	2	1		V2/III		G	iii		V2/III		V		2		III				Mm7	0	1	-4, -2, 2, -1		-2	-4
136	134	535/2	539/2	1.0	1/4	1/4	2/4	2	1		III6(#4)		G	iii		III6(#4)		III		6	#4					M	0	1	1, 3, -3		-3	1
137	135	537/2	541/2	1.0	0	0	2/4	2	1		It6		G	iii		It6	It	vii	o	6	b3	V				It	0	1	-4, 0, 6		6	-4
137	135	539/2	543/2	0.5	1/4	1/4	2/4	2	1		iv		G	iii		iv		iv								m	0	1	-1, -4, 0		-1	-1
137	135	270	272	0.5	3/8	3/8	2/4	2	1		V		G	iii		V		V								M	0	1	1, 5, 2		1	1
138	136	541/2	545/2	7.5	0	0	2/4	2	1		i|PAC}		G	iii		i		i						PAC	}	m	0	1	0, -3, 1		0	0
141	139	278	280	0.5	3/8	3/8	2/4	2	1		vi.V{		G	vi		V		V							{	M	0	1	1, 5, 2		1	1
